"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-0.0442626456111583,-0.0103763928475085,-0.0357159644149451,-0.0167209996530054,-0.0184057052401856,-0.00663155950532215,-0.0403935325787997,0.554356313189846,-0.000541806688996605,-0.0452219946654328,-0.0280454414473139,-0.0442184442763031,-0.0286813116156261,-0.0355939671250963,-0.0501818495812686,-0.00772339993371581,-0.0203002516957386,-0.0350485936275378,-0.00186977876223582,-0.0300475754768001,-0.0102526238497451,-0.0232601312659331,-0.00913418628988844,-0.00996915446564691,-0.0127808891742672,-0.00861178873137908,-0.0192895968246168,0.00095584590471454,-0.00343070151356269,-0.0151040990435242,9.60538785326499e-05,-0.0338406535174529,-0.0193305739919075,-0.00630477370671225,-0.0154287256443253,0.011605338243554,-0.0212803825453678,0.00702888964779212,-0.0212776083731911,0.00222049953850539,-0.0190758442767019,-0.0143313125781115,0.546956350420761,-0.0121293297459005,-0.0188024206324905,-0.0433846833898011,-0.00935835017279208,-0.0251913258140656,-0.0181947245836121,-0.0135114858828987
0.088753533389736,-0.129873799014002,0.0861193330869883,0.0757849952585682,0.0780253021237804,-0.120369284973164,0.0849484310518565,0.126810702396681,-0.126270333134407,0.0914684111014599,0.0703024615543188,0.0954011823474275,0.0889602832498705,0.093041593559402,0.111291675038137,0.0648711886325038,0.0737477207833816,0.0848445372017915,-0.132140400006438,0.0916659190675271,-0.105781783609863,0.0783688378193229,-0.113681794971378,-0.117057680600162,-0.120242698725059,-0.114988096378762,0.071151397998138,-0.128332066199324,0.0617648918999508,-0.11211800740991,-0.116256996108134,0.0930509204250149,0.0901086487642446,-0.110521077154857,0.0735933702095458,-0.14157012797198,0.089384547293437,0.0516750964160539,0.0764733176503224,-0.132894142302713,-0.123817862134404,0.0733267135161779,0.135548277818511,0.0648041750819846,0.0644565606195242,0.105438056226192,-0.128995462642004,0.0870883494043715,0.0762703103830878,0.0577073765542372
0.0880225759842277,-0.0413405051437735,0.0561849795521839,-0.0533156342944596,-0.0321561392039974,0.036886183371551,0.0510158754534165,0.0337551933661408,-0.0205995116529915,0.112517496364819,-0.0887280085736906,0.145464666545885,0.0732988484990042,0.115919471909955,0.289205280742274,-0.157233187730376,-0.0671410325194149,0.0444533128695826,-0.0699566397213763,0.0981450567593775,0.166876313062224,-0.024040953335629,0.0973717199957517,0.069061853578228,0.0444974112664483,0.0855212229022711,-0.090665058081927,-0.0400164768171976,-0.188645488620418,0.117221748489676,0.0653199743340993,0.114142126005351,0.0733208501090223,0.121707279582289,-0.0736382647382425,-0.165784738632201,0.0691250461995018,-0.286986273478593,-0.0425343299167346,-0.080809520841405,0.020250193838473,-0.0771072544276254,0.117159646178103,-0.153143711750018,-0.14907834086542,0.231380101844011,-0.034823474322074,0.053411972491366,-0.0475569028108104,-0.213052207383423
-0.166881971235731,-0.138701809582742,-0.0774822766235123,0.0693122510251318,0.0716272646351742,0.0239439374808894,-0.156675528083529,0.00116305131656252,0.0410271768400481,-0.148892176736384,-0.153088064953595,-0.0892532226213918,0.0541287022164432,0.00441918780274335,0.0111573191556614,0.0691248934410369,-0.00450730227929157,-0.0828863172581838,-0.045605888265099,0.0663021727455753,0.142124665827357,0.00749634002767121,0.0663006669488517,0.0154781722984321,-0.0608684891800898,0.0584975930877806,-0.02040386518541,0.0381563540118737,0.0933696943981278,0.000654587096926572,0.165974576602353,0.0291272920469728,0.198628299395827,0.142613856927779,0.0620551294968448,0.0342211120613437,0.162883064474612,0.123240587159549,0.0133540085493538,0.00305160821551847,-0.190606428906464,0.0743634639534144,-0.00144395699069878,0.00653070507163465,-0.0911237095356758,0.0387154367654479,-0.114243109538783,0.0814102261116983,0.0542570437181336,-0.0950734630644562
-0.000320548845473396,0.0263352477153289,-0.00517838743566778,-0.00663012793130546,-0.00926262762493313,0.00197300502672028,0.00293006298384565,-0.00021474473246455,0.00690580148131847,-0.0048216191026465,0.0185236667525085,-0.0142408544335202,-0.0196256624950041,-0.0197657581649995,-0.0401643301269403,0.005236801139873,0.00195514284580062,-0.0033276012007296,0.0207591435068713,-0.0236145541177011,-0.0240697794512066,-0.00409901166040187,-0.00894540677520835,-0.00089202091472214,0.00915770095273464,-0.00685329345795161,0.00614676436020106,0.00939238179276785,0.00651663520992612,-0.00497599237224484,-0.0147543180444437,-0.0219090216716527,-0.0333477639045415,-0.0189658524495704,-0.00362382013721107,0.0241066704539105,-0.0294754890028693,0.0148937795009899,-0.00254647436421924,0.017376824728722,0.0242405153260471,-0.0043968920442343,-0.00947736651122124,0.0107135401430726,0.0195218399269967,-0.0361873672167495,0.0232699024070266,-0.0199483317915032,-0.00585733920458993,0.0271914353959062
-0.0295912479796731,0.000446467832351773,-0.0188296895472784,0.00291755587327938,0.00163003131047063,0.0103254360455813,-0.0259851318045358,-0.00282524475370848,0.016043857973444,-0.0296272250631789,-0.0156885665444361,-0.0263085123769648,-0.00754531314751597,-0.0153043443901023,-0.0270095526962197,0.0103031298970948,-0.0031106633479945,-0.0185073005558104,0.0113296780381686,-0.00815889303962126,0.0122922633156946,-0.00504083389168507,0.010040352819735,0.00722886780944148,0.0017256415052688,0.0101432890215108,-0.00294498938483285,0.0171544355921894,0.0148443906589084,0.00238951864346718,0.0217932629758826,-0.0128303439252911,0.00618120996687696,0.0155567054239266,0.00367593812550933,0.0257406491670369,0.00308417776286228,0.0246883248623054,-0.00316681061390429,0.016725541209208,-0.00887258856004851,0.00509242387893404,-0.00901488569639364,0.00406506402755586,-0.00550215859711041,-0.0202717859799022,0.00230585948316599,-0.0035366536244592,0.00107697770921943,-0.00131972725047194
0.00245969575166058,0.00340495927589309,-0.000371083737439153,-0.0106484650090577,-0.00855913662275866,0.0116483326517374,-0.00114638924778216,0.00457628959547764,0.00605082974926119,0.004929949554663,-0.014881368037335,0.00837199585066778,0.00175586398137143,0.00578112232926527,0.0228505176193079,-0.0208718073950872,-0.0122572145107722,-0.00154337266419366,0.000903538240933881,0.00424107980762785,0.0248340422176374,-0.00797687757978123,0.017741194353774,0.0147850377061017,0.0121113392707677,0.0165491332948688,-0.0146249060584871,0.00413104722412451,-0.0238802573929522,0.019472743832718,0.014923962351288,0.00568952110382661,0.00224485058188466,0.0203922640771866,-0.0126721183375241,-0.00825444784272049,0.00171166910503901,-0.0334537278428019,-0.00977639718753046,-1.67189137752404e-07,0.00928897093254644,-0.0129719072096318,0.0127722765946665,-0.0206803933638889,-0.0206094692813506,0.01725490866133,0.00412846289384989,-0.000108561317167566,-0.0101326809865375,-0.0269160955342493
0.0356585702151982,0.0070361911695223,0.01867026191365,-0.0246309051266776,-0.0191520389098582,0.0127849118164542,0.0247342852394239,0.0121414982520859,-0.00430039706857877,0.0405597251580953,-0.0132269969021084,0.0438154035054486,0.0108872436811323,0.0270420250757826,0.0730617582850665,-0.052591205994351,-0.021403345046641,0.0160204885362015,-0.0094327804535011,0.0164305590661174,0.0366562065238963,-0.0109295132815584,0.0250818509010711,0.0222446508952983,0.0228188323430928,0.0226259434663382,-0.0262401729141781,-0.00925779121305742,-0.063330951504565,0.0366064182037354,0.00706861256139077,0.0242373422886555,-0.00271086295085068,0.0244491980805652,-0.0294191818245693,-0.0427481563302642,-0.000475244257782765,0.907380334646802,-0.0164599985448299,-0.0169356232189961,0.0285049855103391,-0.0315119231524268,0.0348420920382346,-0.0455972079037118,-0.0353089266321203,0.0548988836557141,0.00648810109751547,0.00296461765636734,-0.0216630852947309,-0.0521608915286287
-0.0463260742382102,-0.00186727876791583,-0.0283611849962446,0.00990656686568162,0.00700276917502097,0.00995179766594454,-0.0391608978782739,-0.00655221685760672,0.0212619323417258,-0.0474466326091979,-0.0172202728908594,-0.0437661106818715,-0.011719370521653,-0.0255271116455488,-0.051096576135006,0.0258043304239013,0.00121998845864516,-0.0273543405951547,0.016144960117564,-0.0137451244311251,0.00732967195462971,-0.0036279985677475,0.00688243560977887,0.0037817592627453,-0.00362898303382087,0.00755633338011068,0.00249815449407701,0.0238173340184024,0.0341670315926601,-0.00576845678974819,0.0263840255160012,-0.0216381010440491,0.00942830801308142,0.0143233544212104,0.0119587181069966,0.0425150868448966,0.00483911841591042,0.0536099249807493,6.34929249860713e-05,0.0249303603326743,-0.0189034589279999,0.0142919606506956,-0.019715406505748,0.0160154347933381,0.0010983116084637,-0.038201161505863,0.000714126334439542,-0.00467842239482954,0.0068203532700105,0.0103240545678677
0.0196761913274375,0.0384385430155001,0.00491969669053637,-0.0138369799422335,-0.016321912498015,-0.0014310595442968,0.0211835926412468,0.00256766922029834,0.000665851793876858,0.0137509567389818,0.0338360455409194,-0.00127619756902674,-0.0229244908923214,-0.0171027756231134,-0.0350196852206091,-0.00385972859035736,0.00218486499217314,0.00711794317866325,0.0226378924616181,-0.0277251438282276,-0.0373977946111402,-0.00432799375149429,-0.0156509738558998,-0.00282297691271558,0.0147292950287398,-0.012963650349045,0.00760041386921779,0.0030947837503304,-0.00568285030970636,-0.00447781145862832,-0.0324328511474563,-0.0218528021197349,-0.0517002665864856,-0.0331746876029965,-0.0104479916384437,0.0159084059984031,-0.0441811120413338,-0.00222441758570088,-0.00372547733384523,0.0139870069172319,0.042882831788461,-0.0125670883013132,-0.00489102698465835,0.00821325358690421,0.0272699548534105,-0.0349761253254181,0.0329448040011111,-0.0264547363849508,-0.0113899274924531,0.0341756963316368
